ts_code,cost_price,price
CC13S050437,,81.30
CC13S050166,,52.85
C593-11108,,36.59
C593-10329,,52.85
C593-10153,,52.85
C593-10238,,52.85
C593-10040,,52.85
C593-10082,,52.85
C593-10331,,81.30
C6812A002BA,,60.98
CTN8000,,12.20
CTN6600,,40.65
CTN4100,,36.59
CTN3390,,65.04
CTN3380,,56.91
CTN3280,,48.78
CTN2320,,40.65
CTN2220,,32.52
CTN2120,,34.15
CTN2010,,24.39
CTN2005,,26.83
CTN2000,,32.52
CTN1050,,24.39
CPC202RF,,20.33
CDR3000U,,56.91
CDR4000,,60.98
CDR3300,,60.98
CDR2100U,,36.59
CDR2000,,40.65
CDR1050,,32.52
CCE278A,,32.52
CCE278X,,40.65
CSCX4216D3,,44.72
CSCX4725,,44.72
CSCX4200,,36.59
CMLTD2092L,,40.65
CMLTD205L,,52.85
CMLTD203L,,81.30
CMLTD203E,,60.98
CMLTD204L,,56.91
CMLTD117S,,36.59
CMLTD115L,,44.72
CMLTD116L,,36.59
CMLTD111S,,32.52
CMLTD1092S,,36.59
CMLTD1082S,,32.52
CMLTD1052L,,36.59
CMLTD1042S,,32.52
CMLTD101S,,32.52
CMLD3470B,,52.85
CMLD3050,,44.72
CML1610,,36.59
C01101202,,36.59
C64035HA,,150.41
C12A7362,,126.02
CTK675,,44.72
CTK435,,36.59
CTK420,,77.24
CTK360,,44.72
CTK340,,44.72
CTK130,,44.72
CTK120,,36.59
CTK1140,,48.78
CFX8,,40.65
C593-10334,,69.11
CEP27,,28.46
CFX3,,34.96
C43502002,,52.85
C43502302,,32.52
CTK715,,56.91
C43501902,,81.30
C42102802,,89.43
C43979002,,60.98
CTK440,,69.11
CTK410,,36.59
CTK400,,56.91
CTK160,,32.52
C1279001,,89.43
C9004462,,121.95
C43640302,,28.46
C44917602,,73.17
C43979202,,44.72
C44574702,,36.59
C44992402,,44.72
C43979102,,28.46
C09004391,,69.11
C09004079,,81.30
CT650H11E,,162.60
CX264H11G,,85.37
CE250A11E,,44.72
CTK475,,40.65
CTK350,,40.65
CTK330,,44.72
CTK320,,40.65
CTK170,,48.78
CTK17,,36.59
CTK140,,32.52
CTK1130,,40.65
CQ7551X,,77.24
CQ7551A,,60.98
CQ7516A,,89.43
CQ6511X,,81.30
CC3903A,,36.59
C92298X,,40.65
C92298A,,36.59
C24016SE,,44.72
CSF5100D3,,32.52
CTK1115,,24.39
CCE255A,,65.04
CRRM1-4313,,126.02
CRRM1-2087,,65.04
CRRM1-2096,,65.04
CRRM1-2025,,65.04
CRRG9-1494,,65.04
CRRM1-0716,,65.04
CRRM1-2337,,65.04
CRRG5-4133,,65.04
CRRG5-5569,,65.04
CRRM1-0355,,101.63
CRRM1-1537,,101.63
CRRG5-6913,,130.08
CRRM1-0866,,130.08
CRRM1-3045,,93.50
CRRM1-2076,,93.50
